Desc,Desc - Split 1,Desc - Split 2,ID,Portion,Calcium,Calories,Carbs,Chol,Fat,Fiber,Potassium,Protein,Sodium,Sugar,Vitamin C,Water
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",CHEESE FD,PAST PROCESS,1046,1 cup,682,330,8.56,98,25.63,0,255,16.86,1284,5.59,0,44
"CHEESE SPRD,PAST PROCESS,AMERICAN",CHEESE SPRD,PAST PROCESS,1048,"1 cup, diced",562,290,8.73,55,21.23,0,242,16.41,1625,7.32,0,47.65
"CREAM,FLUID,HALF AND HALF",CREAM,FLUID,1049,1 fl oz,107,123,4.73,35,10.39,0,132,3.13,61,4.13,0.9,81.24
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",CREAM,FLUID,1050,1 fl oz,91,191,2.82,59,19.1,0,136,2.96,72,3.67,0.8,74.51
"CREAM,FLUID,LT WHIPPING",CREAM,FLUID,1052,"1 cup,  whipped",69,292,2.96,111,30.91,0,97,2.17,34,2.96,0.6,63.5
"CREAM,FLUID,HVY WHIPPING",CREAM,FLUID,1053,"1 cup,  whipped",66,340,2.74,113,36.08,0,95,2.84,27,2.92,0.6,57.81
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",CREAM,WHIPPED,1054,1 cup,101,257,12.49,76,22.22,0,147,3.2,8,8,0,61.33
"CREAM,SOUR,RED FAT,CULTURED",CREAM,SOUR,1055,1 tbsp,104,135,4.26,39,12,0,129,2.94,89,0.16,0.9,80.14
"CREAM,SOUR,CULTURED",CREAM,SOUR,1056,1 tbsp,101,198,4.63,59,19.35,0,125,2.44,31,3.41,0.9,73.07
EGGNOG,EGGNOG,,1057,1 cup,130,88,8.05,59,4.19,0,165,4.55,54,8.05,1.5,82.54
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",SOUR DRSNG,NON-BUTTERFAT,1058,1 tbsp,113,178,4.68,5,16.57,0,162,3.25,48,4.68,0.9,74.79
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",MILK,FILLED,1060,1 cup,128,63,4.74,2,3.4,0,139,3.33,57,4.74,0.9,87.73
"CHEESE,AMERICAN,NONFAT OR FAT FREE",CHEESE,AMERICAN,1061,1 serving,789,126,10.53,26,0,0,393,21.05,1316,5.26,0,65.47
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",CREAM SUB,LIQ,1067,"1 container,  individual",9,136,11.38,0,9.97,0,191,1,67,11.38,0,77.27
"CREAM SUBSTITUTE,POWDERED",CREAM SUBSTITUTE,POWDERED,1069,1 cup,2,529,59.29,0,32.92,0,669,2.48,124,7.77,0,2.98
"DESSERT TOPPING,POWDERED",DESSERT TOPPING,POWDERED,1070,1.5 oz,17,577,52.54,0,39.92,0,166,4.9,122,52.54,0,1.47
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",DESSERT TOPPING,PDR,1071,1 cup,90,194,17.13,10,12.72,0,151,3.61,66,17.13,0.7,65.74
"DESSERT TOPPING,PRESSURIZED",DESSERT TOPPING,PRESSURIZED,1072,1 cup,5,264,16.07,0,22.3,0,19,0.98,62,16.07,0,60.37
"DESSERT TOPPING,SEMI SOLID,FRZ",DESSERT TOPPING,SEMI SOLID,1073,1 cup,6,318,23.05,0,25.31,0,18,1.25,25,23.05,0,50.21
"SOUR CRM,IMITN,CULTURED",SOUR CRM,IMITN,1074,1 oz,3,208,6.63,0,19.52,0,161,2.4,102,6.63,0,71.15
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",MILK,WHL,1077,1 cup,113,61,4.8,10,3.25,0,132,3.15,43,5.05,0,88.13
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",MILK,RED FAT,1079,1 cup,120,50,4.8,8,1.98,0,140,3.3,47,5.06,0.2,89.21
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",MILK,RED FAT,1081,1 cup,143,56,5.49,8,1.98,0,182,3.95,59,5.26,1.1,87.71
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",MILK,LOWFAT,1082,1 cup,125,42,4.99,5,0.97,0,150,3.37,44,5.2,0,89.92
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",MILK,NONFAT,1085,1 cup,122,34,4.96,2,0.08,0,156,3.37,42,5.09,0,90.84
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",MILK,NONFAT,1086,1 cup,129,37,5.02,2,0.25,0,171,3.57,53,5.02,1,90.38
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",MILK,BTTRMLK,1088,1 cup,116,40,4.79,4,0.88,0,151,3.31,190,4.79,1,90.13
"MILK,LO NA,FLUID",MILK,LO NA,1089,1 cup,101,61,4.46,14,3.46,0,253,3.1,3,4.46,0.9,88.2
"MILK,DRY,WHL,W/ ADDED VITAMIN D",MILK,DRY,1090,.25 cup,912,496,38.42,97,26.71,0,1330,26.32,371,38.42,8.6,2.47
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",MILK,DRY,1091,.25 cup,1257,362,51.98,20,0.77,0,1794,36.16,535,51.98,6.8,3.16
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",MILK,DRY,1092,1 cup,1231,358,52.19,18,0.72,0,1705,35.1,549,52.19,5.6,3.96
"MILK,BUTTERMILK,DRIED",MILK,BUTTERMILK,1094,.25 cup,1184,387,49,69,5.78,0,1592,34.3,517,49,5.7,2.97
"MILK,CND,COND,SWTND",MILK,CND,1095,1 fl oz,284,321,54.4,34,8.7,0,371,7.91,127,54.4,2.6,27.16
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",MILK,CND,1096,1 fl oz,261,134,10.04,29,7.56,0,303,6.81,106,10.04,1.9,74.04
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",MILK,CND,1097,1 fl oz,290,78,11.35,4,0.2,0,332,7.55,115,11.35,1.2,79.4
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",MILK,CHOC,1102,1 cup,112,83,10.34,12,3.39,0.8,167,3.17,60,9.54,0.9,82.3
"MILK,CHOC,FLUID,COMM,RED FAT",MILK,CHOC,1103,1 cup,109,76,12.13,8,1.9,0.7,169,2.99,66,9.55,0,82.17
"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",MILK,CHOC,1104,1 cup,129,62,9.86,5,1,0.1,172,3.46,65,9.94,0.4,84.91
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",MILK,CHOC BEV,1105,1 cup,114,77,10.74,8,2.34,1,197,3.52,44,9.66,0.2,82.45
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",MILK,GOAT,1106,1 fl oz,134,69,4.45,11,4.14,0,204,3.56,50,4.45,1.3,87.03
"MILK,HUMAN,MATURE,FLUID",MILK,HUMAN,1107,1 fl oz,32,70,6.89,14,4.38,0,51,1.03,17,6.89,5,87.5
"MILK SHAKES,THICK CHOC",MILK SHAKES,THICK CHOC,1110,1 fl oz,132,119,21.15,11,2.7,0.3,224,3.05,111,20.85,0,72.2
"MILK SHAKES,THICK VANILLA",MILK SHAKES,THICK VANILLA,1111,1 fl oz,146,112,17.75,12,3.03,0,183,3.86,95,17.75,0,74.45
"WHEY,ACID,FLUID",WHEY,ACID,1112,1 cup,103,24,5.12,1,0.09,0,143,0.76,48,5.12,0.1,93.42
