Desc,Desc - Split 1,Desc - Split 2,ID,Portion,Calcium,Calories,Carbs,Chol,Fat,Fiber,Potassium,Protein,Sodium,Sugar,Vitamin C,Water
"OIL,INDUSTRIAL,CTTNSD,FULLY HYDR",OIL,INDUSTRIAL,4702,1 tablespoon,0,884,0,0,100,0,0,0,0,0,0,0
"SALAD DRSNG,HONEY MUSTARD,REG",SALAD DRSNG,HONEY MUSTARD,4703,2 tbsp,12,464,23.33,29,40.83,0.4,20,0.87,512,15.84,0.2,32.64
"SALAD DRSNG,POPPYSEED,CREAMY",SALAD DRSNG,POPPYSEED,4704,2 tbsp,59,399,23.73,15,33.33,0.3,61,0.92,933,23.39,0.3,38.85
"SALAD DRSNG,CAESAR,FAT-FREE",SALAD DRSNG,CAESAR,4705,"2 tbsp,  (1 NLEA serving)",33,131,30.73,1,0.23,0.2,48,1.47,1265,8.82,0.1,64.1
"DRESSING,HONEY MUSTARD,FAT-FREE",DRESSING,HONEY MUSTARD,4706,"2 tbsp,  (1 NLEA serving)",24,169,38.43,1,1.47,1.2,69,1.07,1004,17.75,2.1,56.17
"MAYONNAISE,RED FAT,W/ OLIVE OIL",MAYONNAISE,RED FAT,4708,1 tbsp,0,361,0,33,40,0,31,0.37,800,0,0,57.58
"SALAD DRSNG,MAYONNAISE-TYPE,LT",SALAD DRSNG,MAYONNAISE-TYPE,4709,,5,158,16.4,0,10,0,36,0.65,833,6.67,0,71.2
"CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT ONLY",CHICKEN,BROILER,5000,3 oz,13,144,0,86,3.57,0,284,28.04,328,0,0,67.78
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RSTD",CHICKEN,BROILERS OR FRYERS,5004,3 oz,15,234,0.06,107,13.27,0,212,26.78,79,0,0.5,60.11
"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",CHICKEN,BROILERS OR FRYERS,5006,3 oz,11,215,0,75,15.06,0,189,18.6,70,0,1.6,65.99
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER",CHICKEN,BROILERS OR FRYERS,5007,3 oz,21,289,9.42,87,17.35,0.3,185,22.54,292,0,0,49.39
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR",CHICKEN,BROILERS OR FRYERS,5008,3 oz,17,269,3.15,90,14.92,0.1,234,28.56,84,0,0,52.41
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5009,"1 cup, chopped or diced",15,239,0,88,13.6,0,223,27.3,82,0,0,59.45
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5010,"1 cup, chopped or diced",13,219,0,78,12.56,0,166,24.68,67,0,0,63.93
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5011,3 oz,12,119,0,70,3.08,0,229,21.39,77,0,2.3,75.46
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,CKD,FRIED",CHICKEN,BROILERS OR FRYERS,5012,"1 cup, chopped or diced",17,219,1.69,94,9.12,0.1,257,30.57,91,0,0,57.53
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RSTD",CHICKEN,BROILERS OR FRYERS,5013,"1 cup, chopped or diced",15,190,0,89,7.41,0,243,28.93,86,0,0,63.79
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,STWD",CHICKEN,BROILERS OR FRYERS,5014,"1 cup, chopped or diced",14,177,0,83,6.71,0,180,27.29,70,0,0,66.81
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5015,"1 unit,  (yield from 1 lb ready-to-cook chicken)",11,349,0,109,32.35,0,103,13.33,63,0,0,54.22
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5018,"1 unit,  (yield from 1 lb ready-to-cook chicken)",14,454,0,83,40.68,0,136,20.36,65,0,0,40.29
"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,SIMMRD",CHICKEN,BROILERS OR FRYERS,5022,"1 cup, chopped or dice",14,157,0,442,4.5,0,224,27.15,67,0,12.5,67.72
"CHICKEN,GIZZARD,ALL CLASSES,RAW",CHICKEN,GIZZARD,5023,1 oz,11,94,0,240,2.06,0,237,17.66,69,0,3.7,79.33
"CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD",CHICKEN,GIZZARD,5024,"1 cup, chopped or dice",17,154,0,370,2.68,0,179,30.39,56,0,0,67.93
"CHICKEN,LIVER,ALL CLASSES,RAW",CHICKEN,LIVER,5027,1 liver,8,119,0.73,345,4.83,0,230,16.92,71,0,17.9,76.46
"CHICKEN,LIVER,ALL CLASSES,CKD,SIMMRD",CHICKEN,LIVER,5028,1 liver,11,167,0.87,563,6.51,0,263,24.46,76,0,27.9,66.81
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT & SKN,RAW",CHICKEN,BROILERS OR FRYERS,5029,"1 unit,  (yield from 1 lb ready-to-cook chicken)",11,186,0,67,11.07,0,204,20.27,65,0,0,68.6
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,FRIED,FLR",CHICKEN,BROILERS OR FRYERS,5031,"1 unit,  (yield from 1 lb ready-to-cook chicken)",16,246,1.82,87,12.09,0.1,239,30.45,77,0,0,54.66
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT & SKN,RAW",CHICKEN,BROILERS OR FRYERS,5034,3 oz,11,237,0,81,18.34,0,178,16.69,73,0,0,65.42
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKN,CKD,FRIED,FLR",CHICKEN,BROILERS OR FRYERS,5036,"1 unit,  (yield from 1 lb ready-to-cook chicken)",17,285,4.08,92,16.91,0,230,27.22,89,0,0,50.82
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5039,"1 unit,  (yield from 1 lb ready-to-cook chicken)",12,114,0,58,1.65,0,239,23.2,68,0,0,74.86
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5041,"1 cup, chopped or diced",15,173,0,85,4.51,0,247,30.91,77,0,0,64.76
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5042,"1 cup, chopped or diced",13,159,0,77,3.99,0,180,28.88,65,0,0,68.02
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5043,"1 unit,  (yield from 1 lb ready-to-cook chicken)",12,125,0,80,4.31,0,222,20.08,85,0,3.1,75.99
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5045,"1 cup, chopped or diced",15,205,0,93,9.73,0,240,27.37,93,0,0,63.06
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5046,"1 cup, chopped or diced",14,192,0,88,8.98,0,181,25.97,74,0,0,65.83
"CHICKEN,BROILERS OR FRYERS,FAT,RAW",CHICKEN,BROILERS OR FRYERS,5047,1 tbsp,7,629,0,58,67.95,0,64,3.73,32,0,0,28.91
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,RAW",CHICKEN,BROILERS OR FRYERS,5048,"1 unit,  (yield from 1 lb ready-to-cook chicken)",13,319,0,79,28.74,0,144,14.05,64,0,1.6,58.1
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5051,"1 unit,  (yield from 1 lb ready-to-cook chicken)",21,300,0,88,20.97,0,210,25.95,87,0,0,53.52
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5052,3 oz,18,258,0,78,18.14,0,145,22.18,64,0,0,60.93
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5053,"1 unit,  (yield from 1 lb ready-to-cook chicken)",17,137,0,81,5.92,0,204,19.56,82,0,0,75.31
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5055,"1 unit,  (yield from 1 lb ready-to-cook chicken)",24,239,0,90,13.16,0,237,28.19,96,0,0,58.75
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5056,"1 unit,  (yield from 1 lb ready-to-cook chicken)",21,209,0,85,11.19,0,158,25.31,67,0,0,64.33
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,RAW",CHICKEN,BROILERS OR FRYERS,5057,".5 breast, bone removed (yield from 1 lb ready-to-cook chicken)",11,172,0,64,9.25,0,220,20.85,63,0,0,69.46
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,FRIED,BATTER",CHICKEN,BROILERS OR FRYERS,5058,"1 unit,  (yield from 1 lb ready-to-cook chicken)",20,260,8.99,85,13.2,0.3,201,24.84,275,0,0,51.64
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5060,"1 cup, chopped or diced",14,197,0,84,7.78,0,245,29.8,71,0,0,62.44
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5061,"1 cup, chopped or diced",13,184,0,75,7.42,0,178,27.39,62,0,0,66.21
"CHICKEN,BROILER OR FRYERS,BRST,SKINLESS,BNLESS,MEAT ONLY,RAW",CHICKEN,BROILER OR FRYERS,5062,3 oz,5,120,0,73,2.62,0,334,22.5,45,0,0,73.9
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,FRIED",CHICKEN,BROILERS OR FRYERS,5063,"1 unit,  (yield from 1 lb ready-to-cook chicken)",16,187,0.51,91,4.71,0,276,33.44,79,0,0,60.21
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5064,"1 cup, chopped or diced",15,165,0,85,3.57,0,256,31.02,74,0,0,65.26
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5065,"1 cup, chopped or diced",13,151,0,77,3.03,0,187,28.98,63,0,0,68.27
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW",CHICKEN,BROILERS OR FRYERS,5066,"1 drumstick, with skin",8,161,0.11,92,9.2,0,211,18.08,106,0,0,72.46
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5069,"1 drumstick, with skin (yield from 1 lb ready-to-cook chicken)",11,191,0,130,10.15,0,247,23.35,123,0,0,66.39
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5070,"1 cup, chopped or diced",11,204,0,83,10.64,0,184,25.32,76,0,0,65.12
"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5071,"1 drumstick,  with skin",9,116,0,89,3.71,0,225,19.41,114,0,0,76.78
"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",CHICKEN,BROILERS OR FRYERS,5073,"1 drumstick, without skin",11,155,0,130,5.7,0,256,24.24,128,0,0,69.93
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5074,3 oz,11,169,0,88,5.71,0,199,27.5,80,0,0,67.58
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,RAW",CHICKEN,BROILERS OR FRYERS,5075,3 oz,9,214,0.17,93,15.95,0,203,16.37,84,0,0.2,67.3
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5078,3 oz,12,184,0,127,8.99,0,264,24.03,98,0,0,66.74
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5079,"1 cup, chopped or diced",11,220,0,84,12.92,0,176,24.17,73,0,0,64.01
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5080,3 oz,10,120,0,91,4.22,0,238,19.16,96,0,0,76.41
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5082,3 oz,12,174,0,128,7.8,0,269,24.22,99,0,0,67.69
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5083,3 oz,11,185,0,89,8.06,0,190,26.26,78,0,0,66.44
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD",CHICKEN,BROILERS OR FRYERS,5087,"1 unit,  (yield from 1 lb ready-to-cook chicken)",27,247,0,70,18.1,0,108,19.61,52,0,0,61.73
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,RAW",CHICKEN,BROILERS OR FRYERS,5091,"1 thigh, with skin",7,221,0.25,98,16.61,0,204,16.52,81,0,0,66.47
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5094,"1 thigh, with skin",9,232,0,133,14.71,0,253,23.26,102,0,0,61.96
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5095,"1 unit,  (yield from 1 lb ready-to-cook chicken)",11,232,0,84,14.74,0,170,23.26,71,0,0,63.11
"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5096,"1 thigh, without skin",7,121,0,94,4.12,0,242,19.66,95,0,0,76.22
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5098,"1 thigh, without skin",9,179,0,133,8.15,0,269,24.76,106,0,0,67
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5099,"1 cup, chopped or diced",11,195,0,90,9.79,0,183,25,75,0,0,65.59
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,RAW",CHICKEN,BROILERS OR FRYERS,5100,1 piece,11,191,0,111,12.85,0,187,17.52,84,0,0,69.19
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5103,1 piece,18,254,0,141,16.87,0,212,23.79,98,0,0,59.4
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5104,"1 cup, chopped or diced",12,249,0,70,16.82,0,139,22.78,67,0,0,62.18
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,RAW",CHICKEN,BROILERS OR FRYERS,5105,"1 wing, bone and skin removed (yield from 1 lb ready-to-cook chicken)",13,126,0,57,3.54,0,194,21.97,81,0,1.2,74.95
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,RSTD",CHICKEN,BROILERS OR FRYERS,5107,"1 unit,  (yield from 1 lb ready-to-cook chicken)",16,203,0,85,8.13,0,210,30.46,92,0,0,62.78
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD",CHICKEN,BROILERS OR FRYERS,5108,"1 cup, chopped or diced",13,181,0,74,7.18,0,153,27.18,73,0,0,67.01
"CANADA GOOSE,BREAST MEAT,SKINLESS,RAW",CANADA GOOSE,BREAST MEAT,5111,3 oz,4,133,0,80,4.02,0,336,24.31,50,0,0,70.78
"CHICKEN,ROASTING,MEAT ONLY,RAW",CHICKEN,ROASTING,5113,3 oz,10,111,0,65,2.7,0,238,20.33,75,0,0,74.94
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,RAW",CHICKEN,ROASTING,5117,"1 unit,  (yield from 1 lb ready-to-cook chicken)",11,109,0,57,1.63,0,252,22.2,51,0,0,74.3
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,CKD,RSTD",CHICKEN,ROASTING,5118,"1 cup, chopped or diced",13,153,0,75,4.07,0,236,27.13,51,0,0,67.85
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",CHICKEN,ROASTING,5119,"1 unit,  (yield from 1 lb ready-to-cook chicken)",9,113,0,72,3.61,0,227,18.74,95,0,0,75.48
"CHICKEN,STEWING,MEAT & SKN,& GIBLETS & NECK,CKD,STWD",CHICKEN,STEWING,5122,3 oz,13,214,0,107,11.91,0,171,24.88,67,0,1,64.24
"CHICKEN,STEWING,MEAT&SKN,RAW",CHICKEN,STEWING,5123,3 oz,10,258,0,71,20.33,0,204,17.55,71,0,0,61.84
"CHICKEN,STEWING,MEAT ONLY,RAW",CHICKEN,STEWING,5125,3 oz,10,148,0,63,6.32,0,251,21.26,79,0,3.3,72.54
"CHICKEN,STEWING,MEAT ONLY,CKD,STWD",CHICKEN,STEWING,5126,"1 cup, chopped or diced",13,237,0,83,11.89,0,202,30.42,78,0,0,56.35
"CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW",CHICKEN,STEWING,5129,"1 unit,  (yield from 1 lb ready-to-cook chicken)",11,137,0,47,4.21,0,261,23.1,53,0,1.8,73.24
"CHICKEN,STEWING,DK MEAT,MEAT ONLY,RAW",CHICKEN,STEWING,5131,"1 unit,  (yield from 1 lb ready-to-cook chicken)",10,157,0,77,8.12,0,242,19.7,101,0,4.6,71.94
"CHICKEN,CAPONS,MEAT&SKN,RAW",CHICKEN,CAPONS,5135,3 oz,11,234,0,75,17.07,0,217,18.77,45,0,1.7,63.24
"DUCK,DOMESTICATED,MEAT&SKN,RAW",DUCK,DOMESTICATED,5139,3 oz,11,404,0,76,39.34,0,209,11.49,63,0,2.8,48.5
"DUCK,DOMESTICATED,MEAT&SKN,CKD,RSTD",DUCK,DOMESTICATED,5140,"1 cup, chopped or diced",11,337,0,84,28.35,0,204,18.99,59,0,0,51.84
"DUCK,DOMESTICATED,MEAT ONLY,RAW",DUCK,DOMESTICATED,5141,"1 unit,  (yield from 1 lb ready-to-cook duck)",11,135,0.94,77,5.95,0,271,18.28,74,0,5.8,73.77
"DUCK,DOMESTICATED,MEAT ONLY,CKD,RSTD",DUCK,DOMESTICATED,5142,"1 cup, chopped or diced",12,201,0,89,11.2,0,252,23.48,65,0,0,64.22
"GOOSE,DOMESTICATED,MEAT&SKN,CKD,RSTD",GOOSE,DOMESTICATED,5147,"1 cup, chopped or diced",13,305,0,91,21.92,0,329,25.16,70,0,0,51.95
"TURKEY,WHL,MEAT & SKN,RAW",TURKEY,WHL,5165,3 oz,11,143,0.13,72,5.64,0,224,21.64,112,0.07,0,72.69
"TURKEY,WHL,MEAT & SKN,CKD,RSTD",TURKEY,WHL,5166,3 oz,14,189,0.06,109,7.39,0,239,28.55,103,0,0,63.52
"TURKEY,WHL,MEAT ONLY,RAW",TURKEY,WHL,5167,3 oz,11,112,0.14,67,1.93,0,235,22.64,118,0.07,0,75.37
"TURKEY,WHL,MEAT ONLY,CKD,RSTD",TURKEY,WHL,5168,3 oz,13,159,0,101,3.84,0,239,29.06,101,0,0,66.7
"TURKEY,SKN FROM WHL,(LIGHT & DARK),RAW",TURKEY,SKN FROM WHL,5169,1 oz,13,407,0.16,122,38.93,0,124,12.96,62,0.1,0,48.38
"TURKEY,SKN FROM WHL (LIGHT & DARK),RSTD",TURKEY,SKN FROM WHL (LIGHT & DARK),5170,1 serving,21,459,0.57,177,39.31,0,242,23.94,116,0,0,34.91
"TURKEY,WHL,GIBLETS,RAW",TURKEY,WHL,5171,3 oz,18,124,0.07,333,5.09,0,198,18.18,136,0,0,76.03
"TURKEY,WHL,GIBLETS,CKD,SIMMRD",TURKEY,WHL,5172,1 giblets,18,173,0,521,6.61,0,177,26.44,117,0,0,66.65
"TURKEY,GIZZARD,ALL CLASSES,RAW",TURKEY,GIZZARD,5173,1 raw gizzard,16,111,0,271,3.37,0,185,18.8,147,0,6.2,77.47
"TURKEY,GIZZARD,ALL CLASSES,CKD,SIMMRD",TURKEY,GIZZARD,5174,1 gizzard cooked,17,155,0,452,4.64,0,193,26.45,127,0,6.3,69.22
"TURKEY,HEART,ALL CLASSES,RAW",TURKEY,HEART,5175,1 piece,18,140,0.4,225,7.44,0,179,16.7,129,0,3,74.47
"TURKEY,HEART,ALL CLASSES,CKD,SIMMRD",TURKEY,HEART,5176,1 heart,21,174,0,359,7.52,0,203,24.88,140,0,0,67.15
"TURKEY,LIVER,ALL CLASSES,RAW",TURKEY,LIVER,5177,1 raw liver,20,128,0,415,5.5,0,214,18.26,131,0,24.5,75.54
"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",TURKEY,LIVER,5178,1 liver cooked,19,189,0,648,8.18,0,153,27,98,0,22.6,63.99
"TURKEY FROM WHL,NECK,MEAT ONLY,RAW",TURKEY FROM WHL,NECK,5179,1 oz,24,125,0,115,6.04,0,133,16.51,233,0,0,75.92
"TURKEY FROM WHL,NECK,MEAT ONLY,CKD,SIMMRD",TURKEY FROM WHL,NECK,5180,1 serving,58,162,0,128,7.36,0,114,22.48,246,0,0,69.47
"TURKEY FROM WHL,LT MEAT,MEAT & SKN,RAW",TURKEY FROM WHL,LT MEAT,5181,3 oz,11,161,0.15,67,7.43,0,223,21.96,105,0.06,0,70.68
"TURKEY FROM WHL,LT MEAT,MEAT & SKN,CKD,RSTD",TURKEY FROM WHL,LT MEAT,5182,1 serving,11,177,0.05,89,5.57,0,248,29.55,101,0,0,64.79
"TURKEY,DK MEAT,MEAT & SKN,RAW",TURKEY,DK MEAT,5183,1 oz,11,161,0.15,87,8.97,0,208,19.81,113,0.1,0,71.1
"TURKEY,DK MEAT FROM WHL,MEAT & SKN,CKD,RSTD",TURKEY,DK MEAT FROM WHL,5184,1 serving,17,206,0.07,134,9.95,0,228,27.27,105,0,0,61.66
"TURKEY FROM WHL,LT MEAT,RAW",TURKEY FROM WHL,LT MEAT,5185,1 serving,11,114,0.14,57,1.48,0,242,23.66,113,0.05,0,74.89
"TURKEY,ALL CLASSES,LT MEAT,CKD,RSTD",TURKEY,ALL CLASSES,5186,1 serving,9,147,0,80,2.08,0,249,30.13,99,0,0,67.88
"Turkey from whole, dark meat, meat only, raw",Turkey from whole,dark meat,5187,1 serving,11,108,0.15,79,2.5,0,226,21.28,124,0.1,0,76.01
"TURKEY,FROM WHL,DK MEAT,CKD,RSTD",TURKEY,FROM WHL,5188,1 serving,17,173,0,128,6.04,0,227,27.71,104,0,0,65.23
"TURKEY,ALL CLASSES,BACK,MEAT&SKN,CKD,RSTD",TURKEY,ALL CLASSES,5190,"1 cup, chopped or diced",33,244,0.16,91,14.38,0,260,26.59,73,0,0,57.94
"TURKEY,ALL CLASSES,LEG,MEAT&SKN,CKD,RSTD",TURKEY,ALL CLASSES,5194,"1 unit,  (yield from 1 lb ready-to-cook turkey)",32,208,0,85,9.82,0,280,27.87,77,0,0,61.19
"TURKEY,ALL CLASSES,WING,MEAT&SKN,CKD,RSTD",TURKEY,ALL CLASSES,5196,"1 unit,  (yield from 1 lb ready-to-cook turkey)",24,229,0,81,12.43,0,266,27.38,61,0,0,59.49
"TURKEY,FRYER-ROASTERS,MEAT&SKN,CKD,RSTD",TURKEY,FRYER-ROASTERS,5200,3 oz,22,172,0,105,5.72,0,250,28.26,66,0,0,65.76
"TURKEY,BACK FROM WHL BIRD,MEAT ONLY,RAW",TURKEY,BACK FROM WHL BIRD,5215,4 oz,11,113,0.15,79,2.5,0,226,21.28,124,0.1,0,76.01
"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,RSTD",TURKEY,BACK,5216,3 oz,17,173,0,128,6.04,0,227,27.71,104,0,0,65.23
"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,RAW",TURKEY,BREAST,5219,4 oz,11,114,0.14,57,1.48,0,242,23.66,113,0.05,0,74.89
"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,RSTD",TURKEY,BREAST,5220,3 oz,9,147,0,80,2.08,0,249,30.13,99,0,0,67.88
"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,RAW",TURKEY,WING,5227,3 oz,11,114,0.14,57,1.48,0,242,23.66,113,0.05,0,74.89
"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,RSTD",TURKEY,WING,5228,3 oz,9,147,0,80,2.08,0,249,30.13,99,0,0,67.88
"CHICKEN,CND,MEAT ONLY,W/BROTH",CHICKEN,CND,5277,"1 can,  (5 oz)",14,165,0,62,7.95,0,138,21.77,503,0,2,68.65
"TURKEY,CND,MEAT ONLY,W/BROTH",TURKEY,CND,5284,"1 cup,  drained",12,169,1.47,66,6.86,0,224,23.68,518,0,2,66.07
"GROUND TURKEY,RAW",GROUND TURKEY,RAW,5305,1 lb,19,148,0,69,7.66,0,237,19.66,58,0,0,72.36
"GROUND TURKEY,CKD",GROUND TURKEY,CKD,5306,"1 patty,  (4 oz, raw) (yield after cooking)",28,203,0,93,10.4,0,294,27.37,78,0,0,62.07
"CHICKEN,CORNISH GAME HENS,MEAT&SKN,RAW",CHICKEN,CORNISH GAME HENS,5307,3 oz,11,200,0,101,14.02,0,236,17.15,61,0,0.5,68.18
"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD",CHICKEN,CORNISH GAME HENS,5308,3 oz,13,259,0,131,18.21,0,245,22.27,64,0,0.5,58.68
"CHICKEN,CORNISH GAME HENS,MEAT ONLY,RAW",CHICKEN,CORNISH GAME HENS,5309,3 oz,12,116,0,91,3.33,0,269,20.04,68,0,0.6,75.84
"CHICKEN,CORNISH GAME HENS,MEAT ONLY,CKD,RSTD",CHICKEN,CORNISH GAME HENS,5310,3 oz,13,134,0,106,3.87,0,250,23.3,63,0,0.6,71.9
"CHICKEN,CANNED,NO BROTH",CHICKEN,CANNED,5311,1 oz,14,185,0.9,50,8.1,0,153,25.3,482,0,0,64.9
"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",CHICKEN,WING,5312,1 piece,28,211,3.34,126,12.67,0.6,190,19.67,615,2.04,0,61.79
"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",CHICKEN,WING,5313,1 serving,38,248,3.84,156,13.9,0.9,254,25.34,837,2.1,0.5,53.89
"CKN,BROILERS/FRYERS,BRST,SKNLS,BNLS,MEAT ONLY,W ADDED SLN,RW",CKN,BROILERS/FRYERS,5314,3 oz,5,108,0,64,3,0,332,20.32,173,0,0,75.59
"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK,MEAT ONLY",CHICKEN,BROILER,5319,1 drumstick,20,172,0,155,6.76,0,291,27.71,403,0,0,64.11
"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",CHICKEN,WING,5320,1 serving,28,242,3.36,136,14.87,0.5,218,22.24,559,1.94,0,57.25
